"status","label","ngram forms",,
"w","bio-inspired networking and communications","bio-inspired networking and communications",,
"w","bio-inspired processing","bio-inspired processing",,
"w","bio-inspired system","bio-inspired system *** bioinspired systems",,
"w","bio-mimetic materials","bio-mimetic materials",,
"w","bio-mimetic robotics","bio-mimetic robotics",,
"w","bio-organic hybrid","bio-organic hybrid",,
"w","bio-robotics","bio-robotics",,
"w","bio-sensors","bio-sensors *** bio-sensing",,
"w","biocompatible nanophotonic dev","biocompatible nanophotonic dev",,
"w","biocomputational model","biocomputational model *** bio-computational model *** biocomputational models *** bio-computational models",,
"w","biodosimeter","biodosimeter",,
"w","bioelectric signals","bioelectric signals",,
"w","biohazard identification","biohazard identification",,
"w","bio-hybrid","biohybrid *** bio-hybrid *** bio hybrid",,
"w","biohybrid systems","biohybrid systems",,
"w","bioimpedance","bioimpedance",,
"w","bioinformatics","bioinformatics *** bio-informatics",,
"w","bioinspired information processing","bioinspired information processing",,
"w","bioinspired peptide nanostructures","bioinspired peptide nanostructures",,
"w","biological imaging with kilo-electron volt high harmonics","biological imaging with kilo-electron volt high harmonics",,
"w","biological inspiration for cognitive network coexistence","biological inspiration for cognitive network coexistence",,
"w","biological nonlinear optical material","biological nonlinear optical material",,
"w","biological programmability","biological programmability",,
"w","biological symbiosis","biological symbiosis",,
"w","biological system","biological system",,
"w","biologically inspired sensing and control","biologically inspired sensing and control",,
"w","biologically motivated architecture","biologically motivated architecture",,
"w","biomagnetism","biomagnetism",,
"w","biomarkers","biomarker  *** biomarkers",,
"w","biomecanotronic hand","biomecanotronic hand",,
"w","biomechatronics","biomechatronics",,
"w","biomedical engineering","biomedical engineering",,
"w","biomedical imaging","biomedical imaging",,
"w","biomedical modeling","biomedical modeling",,
"w","biomedical simulations","biomedical simulations",,
"w","biometrics","biometrics",,
"w","biomimetic","biomimetic",,
"w","biomimetic interface","biomimetic interface",,
"w","biomimetic muscle","biomimetic muscle",,
"w","biomimicking environment","biomimicking environment",,
"w","biomimmickking","biomimmickking",,
"w","biomolecular networks","biomolecular networks",,
"w","bionics","bionics",,
"w","biophotonics","biophotonics",,
"w","biophotonics sensors","biophotonics sensors",,
"w","biopolymers","biopolymers",,
"w","biorobotics","biorobotics",,
"w","biosensor","biosensor *** biosensing",,
"w","bipolar","bipolar",,
"w","bisociation","bisociation",,
"w","bistability","bistability",,
"w","blind navigation","blind navigation",,
"w","bloch laser","bloch laser",,
"w","bloch oscillator","bloch oscillator",,
"w","blogs","blogs *** blog",,
"w","body motion","body motion",,
"w","body sensor networks","body sensor networks",,
"w","body teleoperation","body teleoperation",,
"w","body-area networks","body area networks *** body-area networks",,
"w","bolometer","bolometer",,
"w","bomaterials","bomaterials",,
"w","bone","bone",,
"w","bottom-up and top-down nanofabrication of nanostructures","bottom-up and top-down nanofabrication of nanostructures",,
"w","bottom-up nanotechnology","bottom-up nanotechnology",,
"w","box-based software development","box-based software development",,
"w","bragg-polariton parametric amplifier","bragg-polariton parametric amplifier",,
"w","braille","braille",,
"w","brain","brain",,
"w","brain activity","brain activity",,
"w","brain analogue algorithm","brain analogue algorithm",,
"w","brain computer interfaces","brain computer interfaces",,
"w","brain connectivity","brain connectivity",,
"w","brain disease diagnostics","brain disease diagnostics",,
"w","brain function","brain function",,
"w","brain function models","brain function models",,
"w","brain function research","brain function research",,
"w","brain imaging technology","brain imaging technology *** brain imaging",,
"w","brain inspired ict","brain inspired ict",,
"w","brain inspired systems","brain inspired systems",,
"w","brain interfaces"," brain interface *** brain interfaces",,
"w","brain networks","brain networks *** brain network",,
"w","brain plasticity","brain plasticity",,
"w","brain stimulation","brain stimulation",,
"w","brain-computer interface","brain-computer interface *** brain-computer interfacing",,
"w","brain-computer interfacing","brain-computer interfacing",,
"w","brain-inspired ict","brain-inspired ict",,
"w","brain-machine interface","brain-machine interfaces *** brain-machine interface *** brain machine interfaces *** brain machine interaction *** machine to brain communication",,
"w","breast tumours","breast tumours",,
"w","breath analysis","breath analysis",,
"w","bridging research communities","bridging research communities",,
"w","broadband sensitization","broadband sensitization",,
"w","broadband wireless communications","broadband wireless communications",,
"w","broadcasting","broadcasting",,
"w","bulk quantum computation","bulk quantum computation",,
"w","business intelligence","business intelligence",,
"w","business models","business model  *** business models",,
"w","business process management","business process management",,
"w","business processes","business processes",,
"w","camera network","camera network",,
"w","cancellable biometrics","cancellable biometrics",,
"w","cancer","cancer",,
"w","cancer dynamics","cancer dynamics",,
"w","cancer-stem-cells"," cancer stem-cells *** cancer-stem-cells",,
"w","cap theorem","cap theorem",,
"w","capturing and representing attention","capturing and representing attention",,
"w","capturing experience","capturing experience",,
"w","carbon","carbon",,
"w","carbon nanostructures","carbon nanostructures",,
"w","carbon nanotubes","carbon nanotube *** carbon nanotubes",,
"w","carbon-based nanoelectronics","carbon-based nanoelectronics",,
"w","cardiology","cardiology",,
"w","cardiovascular cells","cardiovascular cells",,
"w","cardiovascular simulator","cardiovascular simulator",,
"w","cars microscopy","cars microscopy",,
"w","cars spectroscopy","cars spectroscopy",,
"w","cascade lasers","cascade lasers",,
"w","case-based reasoning","case-based reasoning  *** case based reasoning",,
"w","case-based planning","case-based planning",,
"w","catalysts","catalysts",,
"w","catalytic-cvd","catalytic-cvd",,
"w","category theory","category theory",,
"w","causal induction","causal induction",,
"w","causal modeling","causal modeling",,
"w","causal reasoning","causal reasoning",,
"w","cause-effect relations","cause-effect relations",,
"w","cavity qed","cavity qed",,
"w","cavities","cavities *** cavity",,
"w","cavity-enhanced spectroscopy","cavity-enhanced spectroscopy",,
"w","cbe","cbe",,
"w","cell","cells *** cell",,
"w","cell detection","cell detection",,
"w","cell mechanics","cell mechanics",,
"w","cell population dynamics","cell population dynamics",,
"w","cell programming","cell programming",,
"w","cell therapy","cell therapy",,
"w","cellular and short-range networks","cellular and short-range networks",,
"w","cellular automata","cellular automata",,
"w","cellular networks","cellular networks",,
"w","centrality measures","centrality measures",,
"w","centralized and distributed video processing","centralized and distributed video processing",,
"w","cerebellum","cerebellum",,
"w","cerebral cortex","cerebral cortex",,
"w","cfd","cfd",,
"w","change detection","change detection",,
"w","channel measurements","channel measurements",,
"w","channel modeling","channel modeling",,
"w","channel sounding","channel sounding",,
"w","channelrhodopsin","channelrhodopsin",,
"w","charge patterning","charge patterning",,
"w","charge pumping","charge pumping",,
"w","charge-controlled quantum dot","charge-controlled quantum dot",,
"w","charge-to-voltage convertor","charge-to-voltage convertor",,
"w","chemical and electrical sensing","chemical and electrical sensory  *** chemical and electrical sensing",,
"w","chemical potential","chemical potential",,
"w","chemical regulation","chemical regulation",,
"w","chemical sensors","chemical sensors *** chemical sensing",,
"w","chemically functionalized oil droplets/vesicles","chemically functionalized oil droplets/vesicles",,
"w","chemoresistor","chemoresistor",,
"w","chemosensing","chemosensing",,
"w","chemotaxis","chemotaxis",,
"w","children","children",,
"w","chip multiprocessor","chip multiprocessor",,
"w","chip packaging","chip packaging",,
"w","chiral","chiral",,
"w","chop2","chop2",,
"w","choreography","choreography",,
"w","chr2","chr2",,
"w","chromatography on chip","chromatography on chip",,
"w","chromo-proteins","chromo proteins *** chromo-proteins",,
"w","circuit degradation","circuit degradation",,
"w","circuit quantum electrodynamics","circuit quantum electrodynamics",,
"w","circuit simulation tool","circuit simulation tool",,
"w","claoking","claoking",,
"w","classification of sets","classification of sets",,
"w","clean slate networks","clean slate networks",,
"w","cleaved edge overgrowth","cleaved edge overgrowth",,
"w","climate change","climate change",,
"w","climate models","climate models",,
"w","climatology data processing","climatology data processing",,
"w","clinical decision making","clinical decision making",,
"w","clinical guidelines","clinical guidelines",,
"w","clinical models","clinical models",,
"w","closed-loop","closed-loop",,
"w","closed-loop product lifecycle management","closed-loop product lifecycle management",,
"w","cloud-computing"," cloud computing *** cloud-computing",,
"w","cluster states","cluster states",,
"w","clustering","clustering",,
"w","cmc","cmc",,
"w","cmos","cmos",,
"w","cmos integration","cmos integration",,
"w","cmos readout system","cmos readout system",,
"w","cmos tft circuits","cmos tft circuits",,
"w","cmos-compatibility","cmos-compatibility",,
"w","cnt","cnt",,
"w","cnt composites","cnt composites",,
"w","cnt composites / smart materials","cnt composites / smart materials",,
"w","co adaptive brain computer learning","co adaptive brain computer learning",,
"w","co-design","co-design",,
"w","co-lolated networks","co-lolated networks",,
"w","co2 emissions","co2 emissions",,
"w","co2 footprint","co2 footprint",,
"w","coalitions","coalitions",,
"w","coarse graining","coarse graining",,
"w","cochlear implants","cochlear implants",,
"w","code generation","code generation",,
"w","code obfuscation","code obfuscation",,
"w","code reuse","code reuse",,
"w","coding of information","coding of information",,
"w","coding theory","coding theory",,
"w","cognitive agence","cognitive agence",,
"w","cognitive architecture","cognitive architecture",,
"w","cognitive control","cognitive control",,
"w","cognitive deficiency","cognitive deficiency",,
"w","cognitive enhancement","cognitive enhancement",,
"w","cognitive geography","cognitive geography",,
"w","cognitive graphics","cognitive graphics",,
"w","cognitive heuristics","cognitive heuristics",,
"w","cognitive models","cognitive models",,
"w","cognitive navigation","cognitive navigation",,
"w","cognitive networks","cognitive networks",,
"w","cognitive neural systems","cognitive neural systems",,
"w","cognitive neuroscience","cognitive neuroscience",,
"w","cognitive orthotic","cognitive orthotic",,
"w","cognitive patterns","cognitive patterns",,
"w","cognitive psychology","cognitive psychology *** cognitive psicology",,
"w","cognitive radar","cognitive radar",,
"w","cognitive radio","cognitive radio",,
"w","cognitive robotics","cognitive robotics",,
"w","cognitive sciences","cognitive sciences *** cognitive science *** cognition ",,
"w","cognitive stigmergy","cognitive stigmergy",,
"w","cognitive systems","cognitive systems",,
"w","cognitive systems and interaction","cognitive systems and interaction",,
"w","cognitive vision","cognitive vision",,
"w","cognitive wireless networks","cognitive wireless networks",,
"w","cognitive-hardware","cognitive-hardware",,
"w","cognitive-vision","cognitive-vision",,
"w","coherent quantum systems","coherent quantum systems",,
"w","cohort studies","cohort studies",,
"w","cold atom sensors","cold atom sensors",,
"w","cold atoms","cold atoms",,
"w","collaborative ict","collaborative ict",,
"w","collaborative composition","collaborative composition",,
"w","collaborative decision making","collaborative decision making",,
"w","collaborative development","collaborative development",,
"w","collaborative environments","collaborative environments",,
"w","collaborative mapping","collaborative mapping",,
"w","collaborative networks","collaborative networks",,
"w","collaborative platform","collaborative platform",,
"w","collaborative processes","collaborative processes *** collaborative process",,
"w","collaborative robotics","collaborative robotics",,
"w","collaborative systems","collaborative systems",,
"w","collaborative user interfaces","collaborative user interfaces",,
"w","collaborative vision","collaborative vision",,
"w","collaborative workspaces","collaborative workspaces",,
"w","collective behaviour","collective behaviour *** collective behavior",,
"w","collective intelligence","collective-intelligence  *** collective intelligence",,
"w","collective intelligence in knowledge acquisition","collective intelligence in knowledge acquisition",,
"w","collective operations","collective operations",,
"w","collective robotics","collective robotics",,
"w","collective-intelligence","collective-intelligence",,
"w","colloid physics","colloid physics",,
"w","colloidal quantum dot emitters","colloidal quantum dot emitters",,
"w","color laser projectors","color laser projectors",,
"w","colour appearance","colour appearance",,
"w","comb generator","comb generator",,
"w","combinatorial dna libraries","combinatorial dna libraries",,
"w","combinatorial optimization","combinatorial optimization",,
"w","combinatorial pattern matching","combinatorial pattern matching",,
"w","combinatorics","combinatorics",,
"w","common network description language","common network description language",,
"w","commonsense knowledge","commonsense knowledge",,
"w","commonsense knowledge acquisition","commonsense knowledge acquisition",,
"w","communication networks","communication networks",,
"w","communications for traffic safety systems","communications for traffic safety systems",,
"w","communicative competencies","communicative competencies",,
"w","community detection","community detection",,
"w","compilers","compilers *** compiler *** compilation",,
"w","complementary currencies","complementary currencies",,
"w","completeness","completeness",,
"w","complex autonomous systems-of-systems","complex autonomous systems-of-systems",,
"w","complex biological systems","complex biological systems",,
"w","complex data","complex data",,
"w","complex data representation","complex data representation",,
"w","complex disease","complex disease",,
"w","complex ict eco-systems"," complex ict ecosystems *** complex ict eco-systems",,
"w","complex instructions","complex instructions",,
"w","complex materials","complex materials",,
"w","complex models","complex models",,
"w","complex multisensory environments","complex multisensory environments",,
"w","complex network"," complex networks *** complex network",,
"w","complex neural networks","complex neural networks",,
"w","complex objects","complex objects",,
"w","complex real-time and embedded systems","complex real-time and embedded systems",,
"w","complex systems","complex systems *** complex system *** complexity science",,
"w","complexity and uncertainty","complexity and uncertainty",,
"w","complexity theory","complexity theory",,
"w","composability","composability",,
"w","composable security","composable security",,
"w","composite fibre","composite fibre",,
"w","composite materials","composite materials",,
"w","compound optics","compound optics",,
"w","compound semiconductors","compound semiconductors",,
"w","comprehensive software engineering","comprehensive software engineering",,
"w","compressed sensing","compressed sensing",,
"w","compressive sensing","compressive sensing",,
"w","computable 3d descriptors","computable 3d descriptors",,
"w","computation biomolecular process cells","computation biomolecular process cells",,
"w","computational algebraic topology","computational algebraic topology",,
"w","computational artifacts","computational artifacts",,
"w","computational creativity","computational creativity",,
"w","computational economics","computational economics",,
"w","computational fluid dynamics","computational fluid dynamics",,
"w","computational geometry","computational geometry",,
"w","computational hearing","computational hearing",,
"w","computational intelligence","computational intelligence",,
"w","computational linguistics","computational linguistics",,
"w","computational logic","computational logic",,
"w","computational methods","computational methods",,
"w","computational modeling of communication","computational modeling of communication",,
"w","computational models"," computational model ***  computational modelling  *** computational models",,
"w","computational models of creative social behavior","computational models of creative social behavior",,
"w","computational multi-mechanics","computational multi-mechanics",,
"w","computational neurology","computational neurology",,
"w","computational pragmatics","computational pragmatics",,
"w","computational science and engineering","computational science and engineering",,
"w","computational social choice","computational social choice",,
"w","computational statistics","computational statistics",,
"w","computational steering","computational steering",,
"w","computational systems biology","computational systems biology",,
"w","computational task management","computational task management",,
"w","computer aided design and manufacturing","computer aided design and manufacturing",,
"w","computer aided education","computer aided education",,
"w","computer architecture","computer architecture",,
"w","computer games","computer games",,
"w","computer graphics","computer graphics",,
